speed,rpm,tp,load,timing,area,acc_x,acc_y,acc_z,teda_flag,prediction,kan_prediction,tflite_prediction
28,1376,14,9,25,513.559998,-0.01,0.02,-0.01,0,1,1,1
27,1354,15,10,8,527.989990,0.01,0.12,0.02,0,1,1,1
27,1327,14,12,20,531.765015,0,0.11,0.05,0,1,1,1
27,1312,14,12,17,528.839966,0.01,0.15,0.03,0,1,1,1
27,1320,16,17,12,642.400024,0.01,0.16,0.01,0,1,1,1
27,1334,16,16,14,630.809937,0.01,0.19,0.03,0,1,1,1
27,1351,16,16,15,634.465027,0.01,0.17,0.03,0,1,1,1
28,1359,16,16,15,650.979980,0,0.19,-0.02,0,1,1,1
28,1374,16,17,15,669.149963,-0.01,0.15,0.05,0,1,1,1
28,1382,16,16,15,656.039978,0.02,0.16,0.01,0,1,1,1
28,1392,16,16,15,658.239990,0,0.19,-0.04,0,1,1,1
29,1409,15,16,15,654.525024,0.02,0.19,0.09,0,1,1,1
29,1419,15,16,15,656.775024,0.01,0.21,0.07,0,1,1,1
29,1413,15,16,15,655.424988,0.01,0.20,-0.02,0,1,1,1
29,1408,15,16,15,654.300049,0,0.23,0.02,0,1,1,1
28,1404,15,17,15,653.400024,0,0.19,0.04,0,1,1,1
28,1407,16,18,15,691.609985,0,0.11,-0.02,0,1,1,1
29,1423,17,20,15,765.134949,-0.01,-0.03,-0.03,0,1,1,1
29,1449,17,21,15,787.250000,0,-0.15,-0.06,0,1,1,1
30,1462,17,21,15,806.309998,-0.01,-0.14,-0.02,0,1,1,1
31,1499,17,21,16,831.739990,-0.01,-0.07,0.01,0,1,1,0
31,1527,19,22,15,908.155029,0,-0.03,-0.10,0,1,1,0
32,1574,20,25,15,1018.589966,0,-0.03,0,0,1,1,0
33,1632,20,25,15,1053.279907,0,-0.04,0.03,0,1,1,0
34,1673,19,24,16,1036.169922,0.02,-0.04,-0.08,0,1,1,0
35,1723,19,23,17,1050.669922,0.01,-0.03,0.04,0,1,1,1
36,1770,19,22,18,1064.300049,0,-0.05,0.03,0,1,1,1
37,1814,19,22,17,1095.630005,-0.01,-0.08,-0.04,0,1,1,0
38,1872,24,27,15,1388.399902,-0.02,-0.06,-0.04,0,1,1,0
